年月,數值,預估(F)
2024/12,"3361804",F
2023/12,"3242383",F
2022/12,"3121276",P
2021/12,"2937859",P
2020/12,"2772825",R
2019/12,"2652859",R
2018/12,"2623385",R
2017/12,"2486552",R
2016/12,"2482242",R
2015/12,"2363711",R
2014/12,"2360910",R
2013/12,"2259221",R
