年月,數值,預估(F)
2024/12,"11855185",F
2023/12,"11361285",F
2022/12,"10329771",P
2021/12,"9697117",P
2020/12,"9601096",R
2019/12,"9883066",P
2018/12,"9610482",P
2017/12,"9325676",P
2016/12,"9082075",R
2015/12,"8787564",R
2014/12,"8602842",R
2013/12,"8242378",R
