年月,數值,預估(F)
2024/12,"5356996",F
2023/12,"5091752",F
2022/12,"5295857",P
2021/12,"4802455",P
2020/12,"3933414",R
2019/12,"3740330",R
2018/12,"3278250",R
2017/12,"3132210",R
2016/12,"3172823",R
2015/12,"3029456",R
2014/12,"2951986",R
2013/12,"2763424",R
