年月,數值,預估(F)
2023/06,"22243",P
2023/03,"19087",R
2022/12,"23415",R
2022/09,"22124",R
2022/06,"24355",R
2022/03,"31411",R
2021/12,"32435",R
2021/09,"28621",R
2021/06,"30205",R
2021/03,"26715",R
2020/12,"28437",R
2020/09,"30070",R
2020/06,"21551",R
2020/03,"17196",R
2019/12,"17531",R
2019/09,"13713",R
2019/06,"17758",R
2019/03,"17427",R
2018/12,"20544",R
2018/09,"10856",R
2018/06,"17510",R
2018/03,"21799",R
2017/12,"27910",R
2017/09,"17912",R
2017/06,"17549",R
2017/03,"19717",R
2016/12,"19640",R
2016/09,"13565",R
2016/06,"17752",R
2016/03,"20307",R
2015/12,"19210",R
2015/09,"15552",R
2015/06,"16137",R
2015/03,"21831",R
2014/12,"18332",R
2014/09,"13951",R
2014/06,"15730",R
2014/03,"12594",R
2013/12,"15703",R
